,Unnamed: 0.1,text,created_at,author_id,id,neg,neu,pos,score
0,0,@MercantilBanco Buenas tardes intento abrir mi mercantil en línea y dice datos y clave incorrecta...está fallando la plataforma?,2021-04-28T22:47:36.000Z,202148873,1387539021983850497,0.9947532415390016,0.004320851992815733,0.0009259496000595393,neg
1,1,@MercantilBanco Buenas tardes! En esta oportunidad les escribo para saber si hay problemas con la plataforma para realizar transferencias a otras cuentas mercantil ya que al momento de realizar una transferencia me arroja el mensaje de que intente más tardes!,2021-04-28T22:46:07.000Z,1274553941917863936,1387538646832648197,0.6664023399353027,0.3280368745326996,0.005560851655900478,neg
2,2,@MercantilBanco Deseo es reponer  mi tarjeta de débito,2021-04-28T22:32:15.000Z,343710274,1387535156626526209,0.1070779263973236,0.8866242170333862,0.0062978751957416534,neu
3,3,"@jesusmdbtw2012 @MercantilBanco Si lo está, estoy en la misma situación",2021-04-28T22:06:42.000Z,1323258072534552577,1387528726712311812,0.003917545545846224,0.9894612431526184,0.006621195934712887,neu
4,4,"El @MercantilBanco me quito 180.000 Bs por 4 mensajes de texto al 24024 solicitando clave temporal para un pago móvil, la cual nunca llego, son ladrones o no? https://t.co/bVVmvxfhjH",2021-04-28T21:48:28.000Z,1099360339207049218,1387524137904754689,0.9963149428367616,0.00264962948858738,0.0010354627156630158,neg
5,5,"@MercantilBanco buenas tardes, una pregunta, al bloquear mi tarjeta maestro por deterioro, pierdo el acceso a mi mercantil en línea???",2021-04-28T21:34:46.000Z,69032040,1387520692304887818,0.9245779514312744,0.07195618748664856,0.0034658017102628946,neg
6,6,"@MercantilBanco Buenas disculpen la plataforma no funciona, cuánto demora el problema?",2021-04-28T21:32:07.000Z,132423277,1387520022977855493,0.9899256229400636,0.00874990411102772,0.001324503100477159,neg
7,7,@MercantilBanco Buenas tardes está caída la plataforma? No me deja hacer transferencias a cuentas nuevas.,2021-04-28T21:25:10.000Z,132423277,1387518274871742466,0.9926209449768066,0.0060988571494817725,0.0012802223209291694,neg
8,8,"@MercantilBanco Buenas Tardes Sres banco mercantil , están presentando fallas para realizar transferencia a través de la web y la app ?",2021-04-28T21:16:09.000Z,547618368,1387516007670030336,0.9893662333488464,0.008974072523415089,0.0016597287030890586,neg
9,9,"@MercantilBanco buenas tardes, me pueden informar si hay problemas con du web? Estoy tratando de realizar una transferencia y no he podido. Gracias",2021-04-28T21:12:26.000Z,2536094050,1387515071073501184,0.3505995571613312,0.6424158811569214,0.0069846026599407205,neu
10,10,@MercantilBanco que pasa con la plataforma que no llega la clave de operaciones especiales?,2021-04-28T21:11:58.000Z,96666069,1387514952517365762,0.9953418970108032,0.003592739580199123,0.0010653359349817038,neg
11,11,"@MercantilBanco Qué está pasando con uds q a veces la app no funciona , tpago menod, y encima uno va a pagar y aun teniendo dinero la lectura d negada por falta de fondos? Uno pasa vergüenza, no puede comprar lo que necesita y nadie da respuesta. Estan iguales a banca publica.",2021-04-28T21:04:14.000Z,146936194,1387513006595219458,0.9967927336692809,0.002103415783494711,0.001103817718103528,neg
12,12,@MercantilBanco están caídos ?,2021-04-28T20:19:45.000Z,981184124999340032,1387501813381881861,0.9143800735473632,0.08177513629198074,0.003844781778752804,neg
13,13,@MercantilBanco Hoy fui a la oficina de Maiquetia y estaba cerrada! Necesito cambiar la clave telefónica,2021-04-28T20:14:55.000Z,153517300,1387500598736588804,0.8571986556053162,0.1393197774887085,0.00348158786073327,neg
14,14,@MercantilBanco Buenas tardes. La aplicación no está funcionando,2021-04-28T20:08:23.000Z,757734991,1387498951042076672,0.9898877739906312,0.008712835609912872,0.0013994103064760564,neg
