,author_id,text,created_at,id
0,3312459507,@BcodeVenezuela Buenas noches el banco no me permite movilizar las divisas comprada en el dicom 2018 necesito mi dinero #AFECTADOSDICOM @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @tarekwiliamsaab @josejmoralesu78 @simonzerpad,2021-04-28T23:11:47.000Z,1387545105754738690
1,2887954847,"@BcodeVenezuela Hasta aquí llega, no pasa de aqui https://t.co/JiZVSiBqCs",2021-04-28T23:11:23.000Z,1387545007033311235
2,1030493446627360769,@BcodeVenezuela Hasta cuando banco Venezuela con las transacciones q se hacen x bdv en línea q dicen fallida y luego te descuentan el dinero,2021-04-28T23:05:14.000Z,1387543460094353416
3,188499510,@BcodeVenezuela Me ha funcionado muy bien hasta ahora solo falta que puedas transferir a otros bancos y que sea compatible con iOS,2021-04-28T22:39:51.000Z,1387537070000906242
4,1182083433675329536,@cmorlesVEN @BcodeVenezuela Tiene muchas fallas los Deco dice no tiene suscripción y voy a cancelar la facturación y dice identificador no encontrado,2021-04-28T22:39:37.000Z,1387537012669001739
5,133911013,@BcodeVenezuela Necesitamos nuestras divisas compradas legalmente por el sistema Dicom y que mantiene retenidas @BCV_ORG_VE @MinEcoFinanzas @TSJ_Venezuela @TarekWiliamSaab @JoseJMoralesU78 @SimonZerpaD,2021-04-28T22:35:17.000Z,1387535921353011207
6,1387211500146864130,"@BcodeVenezuela Sres. BDV desde 2018 tengo bloqueados mis dólares comprados con DICOM, den respuesta a ésto, hay demasiada necesidad con ésta pandemia, sean humanos con el pueblo! @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @josejmoralesu78 @simonzerpad",2021-04-28T22:33:27.000Z,1387535460269006849
7,1387211500146864130,"@BcoBicentenario La página caída todo el día, será que nuestro dinero se va perder igual que han hecho con nuestros dólares comprados legalmente con DICOM 2018? @BCV_ORG_VE @sudebaninforma @minecofinanzas @tsj_venezuela @BcodeVenezuela  @simonzerpad",2021-04-28T22:22:24.000Z,1387532679483174916
8,1067078936843177984,"@MinEcoFinanzas @BcodeVenezuela Tengo dos reclamando que baje la aplicación la instale todo bien hasta el logo no me autentifica envié correos al ,@BcodeVenezuela  y nada que recibo una respuesta cordial en cuanto a la solución",2021-04-28T22:04:58.000Z,1387528290009821194
9,103364052,@BcodeVenezuela No puedo utilizar la app después de hace las autenticación se queda pegada y no entra imposible utilizarla,2021-04-28T22:01:39.000Z,1387527459411746817
10,138451271,@GonzaloMachadoS @carlacol2 @VenezuelaSaime @BcodeVenezuela Gracias! Al tratar de hacerlo me Reflejó que ya había pagado 👍,2021-04-28T21:59:52.000Z,1387527006540206080
11,142433589,@cmorlesVEN @BcodeVenezuela #CantvLoHacePosible,2021-04-28T21:53:11.000Z,1387525324594982915
12,111057665,@BcodeVenezuela NO A LA ESTAFA DE LA BANCA PUBLICA A LOS ADJUDICADOS DEL DICOM ... NUESTRO DINERO YAAAA.....,2021-04-28T21:44:29.000Z,1387523136896262151
13,94132617,"@BcodeVenezuela Liberen las divisas del Dicom, necesito el dinero, hasta cuándo van a retener ese dinero ya van más de 3 años",2021-04-28T21:39:26.000Z,1387521864776433669
14,755409750,@BcodeVenezuela  Agencia 471 el Carmen excelente atención y servicio.  Gracias,2021-04-28T21:34:11.000Z,1387520545521119241
15,1338214890675298312,"@ExClesa @BcodeVenezuela Estos son los datos de mi empresa
EL ANGELO ORIGINAL C.A
RIF: J-500528680
NUMERO DE AFILIADO 75410298 
CONTACTO 
angelonieves9@gmail.com
TLF 04124838086 
QUE PASEN BUENAS TARDES Y QUE DIOS LES BENDIGA",2021-04-28T21:25:36.000Z,1387518384850472968
16,141979306,@BcodeVenezuela Sólo funciona en Android 8.0 y los más nuevos los que tienen android inferior que nos muerda el perro ;/,2021-04-28T21:20:10.000Z,1387517019164233729
17,1338214890675298312,@ExClesa Hola buenos dias amigos @ExClesa necesito que por favor me ayuden adquirir un equipo biopagobdv ya que tengo cuenta y codigo de afiliación @BcodeVenezuela   y en reiteradas oportunidades desde hace 5 meses he enviado la solicitud ventas@biopagobdv.com y no hay disponibilidad.,2021-04-28T21:17:17.000Z,1387516291846713351
